专业,部件名称/场景分类,部位名称/场景名称,状态描述/场景描述,标注标签
安监,环境监测,房屋建筑物,盖板破损,011_hjjc_fwjzw_gbps
安监,环境监测,房屋建筑物,盖板缺失,011_hjjc_fwjzw_gbqs
安监,环境监测,房屋建筑物,门窗墙损坏,011_hjjc_fwjzw_mcqsh
安监,环境监测,房屋建筑物,排洪沟堵塞,011_hjjc_fwjzw_phgds
安监,环境监测,火灾烟雾,火灾烟雾,011_hjjc_hzyw_hzyw
安监,环境监测,积雪、积水、漏水,室内地面积雪、积水,011_hjjc_jx/js/ls_sndmjx/js
安监,环境监测,积雪、积水、漏水,室内墙面或屋顶漏水,011_hjjc_jx/js/ls_snqmhwdls
安监,环境监测,小动物闯入,小动物闯入,011_hjjc_xdwcr_xdwcr
安监,环境监测,站房,安防区域入侵,011_hjjc_zf_afqyrq
安监,环境监测,站房,防生物入侵,011_hjjc_zf_fswrq
安监,全景信息,环境信息,抱杆,011_qjxx_hjxx_bg
安监,全景信息,环境信息,成捆导线,011_qjxx_hjxx_ckdx
安监,全景信息,环境信息,高速公路,011_qjxx_hjxx_gsgl
安监,全景信息,环境信息,杆塔,011_qjxx_hjxx_gt
安监,全景信息,环境信息,护目镜,011_qjxx_hjxx_hmj
安监,全景信息,环境信息,绝缘手套,011_qjxx_hjxx_jyst
安监,全景信息,环境信息,孔洞,011_qjxx_hjxx_kd
安监,全景信息,环境信息,空导线,011_qjxx_hjxx_kdx
安监,全景信息,环境信息,跨越架,011_qjxx_hjxx_kyj
安监,全景信息,环境信息,灭火器,011_qjxx_hjxx_mhq
安监,全景信息,环境信息,输电线路,011_qjxx_hjxx_sdxl
安监,全景信息,环境信息,塔材,011_qjxx_hjxx_tc
安监,全景信息,环境信息,通风措施,011_qjxx_hjxx_tfcs
安监,全景信息,环境信息,铁路,011_qjxx_hjxx_tl
安监,全景信息,人员信息,地面作业人员-安全帽正确佩戴,011_qjxx_ryxx_dmzyry-aqmzqpd
安监,全景信息,人员信息,地面作业人员-规范着装,011_qjxx_ryxx_dmzyry-gfzz
安监,全景信息,人员信息,地面作业人员-有佩戴绝缘手套,011_qjxx_ryxx_dmzyry-ypdjyst
安监,全景信息,人员信息,高处作业人员-安全带规范使用,011_qjxx_ryxx_gczyry-aqdgfsy
安监,全景信息,人员信息,高处作业人员-爬梯有人扶持,011_qjxx_ryxx_gczyry-ptyrfc
安监,全景信息,设备信息,氧气瓶-未直立放置,011_qjxx_sbxx_yqg-wzlfz
安监,全景信息,设备信息,氧气瓶-直立放置,011_qjxx_sbxx_yqg-zlfz
安监,全景信息,设备信息,乙炔瓶-未直立放置,011_qjxx_sbxx_yqp-wzlfz
安监,全景信息,设备信息,乙炔瓶-直立放置,011_qjxx_sbxx_yqp-zlfz
安监,作业视频,作业现场监控质量检测,监控范围内无作业内容,011_zysp_zyxcjkzljc_jkfwnwzynr
安监,作业视频,作业现场监控质量检测,监控内容是否遮挡,011_zysp_zyxcjkzljc_jknrsfzd
安监,作业违章,高空作业防高坠,高处作业未佩戴安全带,011_zywz_gkzyfgz_gczywpdaqd
安监,作业违章,高空作业防高坠,高处作业未正确使用安全带,011_zywz_gkzyfgz_gczywzqsyaqd
安监,作业违章,高空作业防高坠,塔上作业速差自控器系在腰间,011_zywz_gkzyfgz_tszysczkqjzyj
安监,作业违章,高空作业防高坠,梯上作业无人扶梯,011_zywz_gkzyfgz_tszywrft
安监,作业违章,现场作业安全警示,高空抛物,011_zywz_xczyaqjs_gkpw
安监,作业违章,现场作业安全警示,火花,011_zywz_xczyaqjs_hh
安监,作业违章,现场作业安全警示,跨越（下穿）安全围栏,011_zywz_xczyaqjs_ky（xc）aqwl
安监,作业违章,现场作业安全警示,作业现场孔洞未遮盖或无防护措施,011_zywz_xczyaqjs_zyxckdwzghwfhcs
安监,作业违章,现场作业安全警示,作业现场明火,011_zywz_xczyaqjs_zyxcmh
安监,作业违章,现场作业安全警示,作业现场未设安全围栏,011_zywz_xczyaqjs_zyxcwsaqwl
安监,作业违章,现场作业安全警示,作业现场未设标示牌,011_zywz_xczyaqjs_zyxcwsbsp
安监,作业违章,现场作业安全警示,作业现场吸烟,011_zywz_xczyaqjs_zyxcxy
安监,作业违章,现场作业安全警示,作业现场烟火,011_zywz_xczyaqjs_zyxcyh
安监,作业违章,现场作业劳动防护,吊臂下站人,011_zywz_xczyldfh_dbxzr
安监,作业违章,现场作业劳动防护,接地线挂接不规范,011_zywz_xczyldfh_jdxgjbgf
安监,作业违章,现场作业劳动防护,未佩戴护目镜,011_zywz_xczyldfh_wpdhmj
安监,作业违章,现场作业劳动防护,未正确佩戴安全帽,011_zywz_xczyldfh_wzqpdaqm
安监,作业违章,现场作业劳动防护,现场作业未戴安全帽,011_zywz_xczyldfh_xczywdaqm
安监,作业违章,现场作业劳动防护,现场作业未规范着装,011_zywz_xczyldfh_xczywgfzz
安监,作业违章,现场作业劳动防护,现场作业未佩戴绝缘手套,011_zywz_xczyldfh_xczywpdjyst
安监,作业队伍,安全准入人员照片质量检测,安全准入照片模糊,011_zyxc_aqzrryzpzljc_aqzrzpmh
安监,作业队伍,安全准入人员照片质量检测,安全准入照片遮挡,011_zyxc_aqzrryzpzljc_aqzrzpzd
安监,作业现场,动火作业现场,动火作业现场,011_zyxc_dhzyxc_dhzyxc
安监,作业现场,大型机械设备作业现场,叉车识别,011_zyxc_dxjxsbzyxc_ccsb
安监,作业现场,大型机械设备作业现场,斗臂车作业,011_zyxc_dxjxsbzyxc_dbczy
安监,作业现场,大型机械设备作业现场,吊车作业,011_zyxc_dxjxsbzyxc_dczy
安监,作业现场,大型机械设备作业现场,绞磨机识别,011_zyxc_dxjxsbzyxc_jmjsb
安监,作业现场,大型机械设备作业现场,牵张机作业,011_zyxc_dxjxsbzyxc_qzjzy
安监,作业现场,大型机械设备作业现场,升降机识别,011_zyxc_dxjxsbzyxc_sjjsb
安监,作业现场,大型机械设备作业现场,挖掘机作业,011_zyxc_dxjxsbzyxc_wjjzy
安监,作业现场,高处作业,杆塔作业现场,011_zyxc_gczy_gtzyxc
安监,作业现场,高处作业,脚手架上作业现场,011_zyxc_gczy_jsjszyxc
安监,作业现场,高处作业,设备上作业现场,011_zyxc_gczy_sbszyxc
安监,作业现场,高处作业,梯上作业现场,011_zyxc_gczy_tszyxc
安监,作业现场,架线作业,导线线盘识别,011_zyxc_jxzy_dxxpsb
安监,作业现场,架线作业,跨越架识别,011_zyxc_jxzy_kyjsb
安监,作业现场,临带电作业现场,临带电作业现场,011_zyxc_lddzyxc_lddzyxc
安监,作业现场,深基坑作业现场,深基坑作业现场,011_zyxc_sjkzyxc_sjkzyxc
安监,作业现场,“三跨”作业现场,跨越带电线路作业现场,011_zyxc_skzyxc_kyddxlzyxc
安监,作业现场,“三跨”作业现场,跨越公路作业现场,011_zyxc_skzyxc_kyglzyxc
安监,作业现场,“三跨”作业现场,跨越铁路作业现场,011_zyxc_skzyxc_kytlzyxc
安监,作业现场,组塔架线作业,抱杆识别,011_zyxc_ztjxzy_bgsb
安监,作业现场,组塔架线作业,杆塔识别,011_zyxc_ztjxzy_gtsb
安监,作业现场,组塔架线作业现场,组塔架线作业现场,011_zyxc_ztjxzyxc_ztjxzyxc
安监,作业信息,作业计划,安全措施勾选与否,011_zyxx_zyjh_aqcsgxyf
安监,作业信息,作业计划,安全交底签字人数识别,011_zyxx_zyjh_aqjdqzrssb
安监,作业信息,作业计划,工作负责人是否签字,011_zyxx_zyjh_gzfzrsfqz
安监,作业信息,作业计划,工作票字迹是否涂改,011_zyxx_zyjh_gzpzjsftg
安监,作业信息,作业计划,无计划作业,011_zyxx_zyjh_wjhzy
安监,作业信息,作业计划,现场无作业人员,011_zyxx_zyjh_xcwzyry
安监,作业信息,作业计划,现场有作业人员,011_zyxx_zyjh_xcyzyry
安监,作业信息,作业资质,国网工服检测,011_zyxx_zyzz_gwgfjc
安监,作业信息,作业资质,工作负责人不在现场,011_zyxx_zyzz_gzfzrbzxc
安监,作业信息,作业资质,红色安全帽检测-安全督查员,011_zyxx_zyzz_hsaqmjc-aqdcy
安监,作业信息,作业资质,黄色安全帽检测-运行人员（工作许可人）,011_zyxx_zyzz_hsaqmjc-yxry（gzxkr）
安监,作业信息,作业资质,黄色马甲检测（安全员是否在场）,011_zyxx_zyzz_hsmjjc（aqysfzc）
安监,作业信息,作业资质,红色马甲检测（对应工作负责人在场检测）,011_zyxx_zyzz_hsmjjc（dygzfzrzcjc）
安监,作业信息,作业资质,空间作业未设监护人,011_zyxx_zyzz_kjzywsjhr
安监,作业信息,作业资质,蓝色安全帽检测-检修人员（包括工作负责人、工作班成员）,011_zyxx_zyzz_lsaqmjc-jxry（bkgzfzr、gzbcy）
设备-输电,ADSS,接线盒,正常,021_adss_jxh__zc
设备-输电,ADSS,接线盒,接线盒脱落,021_adss_jxh_jxhtl
设备-输电,ADSS,接线盒,密封不良,021_adss_jxh_mfbl
设备-输电,ADSS,支架,正常,021_adss_zj_zc
设备-输电,ADSS,支架,支架螺丝缺失,021_adss_zj_zjlsqs
设备-输电,ADSS,支架,支架缺失,021_adss_zj_zjqs
设备-输电,ADSS,支架,支架脱落,021_adss_zj_zjtl
设备-输电,保护金具,防振锤,,021_bhjj_fzc
设备-输电,保护金具,防振锤,滑移,021_bhjj_fzc_hy
设备-输电,保护金具,防振锤,偏斜,021_bhjj_fzc_px
设备-输电,保护金具,防振锤,脱落,021_bhjj_fzc_tl
设备-输电,保护金具,防振锤,锈蚀,021_bhjj_fzc_xs
设备-输电,保护金具,防振锤,正常,021_bhjj_fzc_zc
设备-输电,保护金具,护线条,断股,021_bhjj_hxt_dg
设备-输电,保护金具,护线条,破损,021_bhjj_hxt_ps
设备-输电,保护金具,护线条,松散,021_bhjj_hxt_ss
设备-输电,保护金具,护线条,位移,021_bhjj_hxt_wy
设备-输电,保护金具,护线条,正常,021_bhjj_hxt_zc
设备-输电,保护金具,护线条,灼伤,021_bhjj_hxt_zs
设备-输电,保护金具,间隔棒,缺损,021_bhjj_jgb_qs
设备-输电,保护金具,间隔棒,正常,021_bhjj_jgb_zc
设备-输电,保护金具,屏蔽环,损坏,021_bhjj_pbh_sh
设备-输电,保护金具,屏蔽环,脱落,021_bhjj_pbh_tl
设备-输电,保护金具,屏蔽环,锈蚀,021_bhjj_pbh_xs
设备-输电,保护金具,屏蔽环,正常,021_bhjj_pbh_zc
设备-输电,保护金具,屏蔽环,灼伤,021_bhjj_pbh_zs
设备-输电,保护金具,重锤,缺损,021_bhjj_zc_qs
设备-输电,保护金具,重锤,锈蚀,021_bhjj_zc_xs
设备-输电,保护金具,重锤,正常,021_bhjj_zc_zc
设备-输电,保护金具,阻尼线,断股,021_bhjj_znx_dg
设备-输电,保护金具,阻尼线,位移,021_bhjj_znx_wy
设备-输电,保护金具,阻尼线,正常,021_bhjj_znx_zc
设备-输电,保护金具,阻尼线,灼伤,021_bhjj_znx_zs
设备-输电,避雷器,本体,击伤,021_blq_bt_js
设备-输电,避雷器,本体,裂纹,021_blq_bt_lw
设备-输电,避雷器,本体,破损,021_blq_bt_ps
设备-输电,避雷器,本体,缺件,021_blq_bt_qj
